Uma Ideia de Você,2024,6.5/10,"Solène, a 40-year-old single mom, begins an unexpected romance with 24-year-old Hayes Campbell, the lead singer of August Moon, the hottest boy band on the planet."
Duna: Parte 2,2024,8.7/10,Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.
Guerra Civil,2024,7.6/10,"A journey across a dystopian future America, following a team of military-embedded journalists as they race against time to reach DC before rebel factions descend upon the White House."
Rivais,2024,7.8/10,"Tashi, a former tennis prodigy turned coach, turned her husband into a champion. But to overcome a losing streak, he needs to face his ex-best friend and Tashi's ex-boyfriend."
A Batalha do Biscoito Pop-Tart,2024,5.6/10,"In 1963 Michigan, business rivals Kellogg's and Post compete to create a cake that could change breakfast forever."
O Dublê,2024,7.3/10,A down-and-out stuntman must find the missing star of his ex-girlfriend's blockbuster film.
Love Lies Bleeding - O Amor Sangra,2024,6.8/10,"Gym manager Lou falls for Jackie, a bodybuilder who is passing through town en route to a competition in Las Vegas."
Todos Menos Você,2023,6.2/10,"After an amazing first date, Bea and Ben's fiery attraction turns ice-cold--until they find themselves unexpectedly reunited at a wedding in Australia. So they do what any two mature adults would do: pretend to be a couple."
Fúria Primitiva,2024,7.0/10,An anonymous young man unleashes a campaign of vengeance against the corrupt leaders who murdered his mother and continue to systematically victimize the poor and powerless.
Abigail,2024,7.0/10,"After a group of criminals kidnap the ballerina daughter of a powerful underworld figure, they retreat to an isolated mansion, unaware that they're locked inside with no normal little girl."
The Ministry of Ungentlemanly Warfare,2024,7.3/10,The British military recruits a small group of highly skilled soldiers to strike against German forces behind enemy lines during World War II.
Tarde da Noite Com o Diabo,2023,7.1/10,"A live television broadcast in 1977 goes horribly wrong, unleashing evil into the nation's living rooms."
Miller's Girl,2024,5.2/10,A creative writing assignment yields complex results between a teacher and his talented student.
Arcadian,2024,5.6/10,A father and his twin teenage sons fight to survive in a remote farmhouse at the end of the end of the world.
Godzilla Minus One,2023,8.1/10,"Post war Japan is at its lowest point when a new crisis emerges in the form of a giant monster, baptized in the horrific power of the atomic bomb."
Troca Surpresa,2023,8.5/10,"The misadventures of two young brides who get lost from the same train. From mistaken identities to laugh-out-aloud escapades, the ensuing chaos guarantees laughter galore and heartwarming moments."
Rebel Moon - Parte 2: A Marcadora de Cicatrizes,2024,5.2/10,"Kora and surviving warriors prepare to defend Veldt, their new home, alongside its people against the Realm. The warriors face their pasts, revealing their motivations before the Realm's forces arrive to crush the growing rebellion."
Godzilla e Kong: O Novo Império,2024,6.5/10,"Two ancient titans, Godzilla and Kong, clash in an epic battle as humans unravel their intertwined origins and connection to Skull Island's mysteries."
Pobres Criaturas,2023,7.9/10,"An account of the fantastical evolution of Bella Baxter, a young woman brought back to life by the brilliant and unorthodox scientist Dr. Godwin Baxter."
Argylle: O Superespião,2024,5.7/10,"A reclusive author who writes espionage novels about a secret agent and a global spy syndicate realizes the plot of the new book she's writing starts to mirror real-world events, in real time."
Contra o Mundo,2023,6.7/10,"A fever dream action film that follows Boy, a deaf person with a vibrant imagination. When his family is murdered, he is trained by a mysterious shaman to repress his childish imagination and become an instrument of death."
Matador de Aluguel,2024,6.2/10,"Ex-UFC fighter Dalton takes a job as a bouncer at a Florida Keys roadhouse, only to discover that this paradise is not all it seems."
Unsung Hero,2024,7.9/10,"Based on a remarkable true story, a mum's faith stands against all odds and inspires her husband and children to hold on to theirs."
Na Terra de Santos e Pecadores,2023,6.3/10,"In a remote Irish village, a widower is forced to fight for redemption after a lifetime of sins, but what price is he willing to pay? In the land of saints and sinners, some sins can't be buried."
Rebel Moon - Parte 1: A Menina do Fogo,2023,5.6/10,"When a peaceful settlement on the edge of a distant moon finds itself threatened by a tyrannical ruling force, a stranger living among its villagers becomes their best hope for survival."
Oppenheimer,2023,8.3/10,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.
Beekeeper: Rede de Vingança,2024,6.4/10,"One man's brutal campaign for vengeance takes on national stakes after he is revealed to be a former operative of a powerful and clandestine organization known as ""Beekeepers."""
Duna,2021,8.0/10,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.
Uma Prova de Coragem,2024,7.0/10,An adventure racer adopts a stray dog named Arthur to join him in an epic endurance race.
Humane,2024,5.3/10,"In the wake of an environmental collapse that is forcing humanity to shed 20% of its population, a family dinner erupts into chaos when a father's plan to enlist in the government's new euthanasia program goes horribly awry."
Ghostbusters: Apocalipse de Gelo,2024,6.3/10,"When the discovery of an ancient artifact unleashes an evil force, Ghostbusters new and old must join forces to protect their home and save the world from a second ice age."
Back to Black,2024,6.6/10,"The life and music of Amy Winehouse, through the journey of adolescence to adulthood and the creation of one of the best-selling albums of our time."
Imaculada,2024,5.9/10,"Cecilia, a woman of devout faith, is warmly welcomed to the picture-perfect Italian countryside where she is offered a new role at an illustrious convent. But it becomes clear to Cecilia that her new home harbors dark and horrifying secrets."
Kung Fu Panda 4,2024,6.3/10,"After Po is tapped to become the Spiritual Leader of the Valley of Peace, he needs to find and train a new Dragon Warrior, while a wicked sorceress plans to re-summon all the master villains whom Po has vanquished to the spirit realm."
Zona de Interesse,2023,7.5/10,Auschwitz commandant Rudolf Höss and his wife Hedwig strive to build a dream life for their family in a house and garden beside the camp.
O Tarô da Morte,2024,5.0/10,"When a group of friends recklessly violates the sacred rule of Tarot readings, they unknowingly unleash an unspeakable evil trapped within the cursed cards. One by one, they come face to face with fate and end up in a race against death."
O Juiz,2014,7.4/10,"Big-city lawyer Hank Palmer returns to his childhood home where his father, the town's judge, is suspected of murder. Hank sets out to discover the truth; along the way he reconnects with his estranged family."
A Primeira Profecia,2024,6.8/10,"A young American woman is sent to Rome to begin a life of service to the church, but encounters a darkness that causes her to question her faith and uncovers a terrifying conspiracy that hopes to bring about the birth of evil incarnate."
Magnatas do Crime,2019,7.8/10,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him."
City Hunter,2024,6.4/10,"An exceptional marksman and hopeless playboy, private eye Ryo Saeba reluctantly forms an alliance with his late partner's sister to investigate his death."
Zona de Risco,2024,6.5/10,A US Army special forces unit is ambushed during a mission to retrieve an intelligence asset and their only remaining hope lies with a remote Air Force drone operator assisting them through a brutal 48-hour battle for survival.
Infestação,2023,6.5/10,"Residents of a rundown French apartment building battle against an army of deadly, rapidly reproducing spiders."
Madame Teia,2024,3.8/10,"Cassandra Webb is a New York metropolis paramedic who begins to demonstrate signs of clairvoyance. Forced to challenge revelations about her past, she needs to safeguard three young women from a deadly adversary who wants them destroyed."
Wish - O Poder dos Desejos,2023,5.6/10,A young girl named Asha wishes on a star and gets a more direct answer than she bargained for when a trouble-making star comes down from the sky to join her.
